student_id,student_name,subject,grade,date,teacher,assignment,notes
1,Иванов Иван,Математика,5,2024-01-15,Петрова А.С.,Контрольная работа №1,
1,Иванов Иван,Физика,4,2024-01-18,Сидоров В.П.,Лабораторная работа,Отличная работа
1,Иванов Иван,Математика,5,2024-02-10,Петрова А.С.,Контрольная работа №2,
1,Иванов Иван,Химия,5,2024-02-15,Козлова М.А.,Практическая работа,
1,Иванов Иван,Физика,5,2024-03-05,Сидоров В.П.,Контрольная работа,
1,Иванов Иван,Математика,4,2024-03-20,Петрова А.С.,Самостоятельная работа,
1,Иванов Иван,Биология,5,2024-04-02,Федорова Е.В.,Лабораторная работа,
2,Петрова Мария,Математика,4,2024-01-15,Петрова А.С.,Контрольная работа №1,
2,Петрова Мария,Физика,5,2024-01-18,Сидоров В.П.,Лабораторная работа,
2,Петрова Мария,Математика,5,2024-02-10,Петрова А.С.,Контрольная работа №2,
2,Петрова Мария,Химия,4,2024-02-15,Козлова М.А.,Практическая работа,Нужно улучшить
2,Петрова Мария,Физика,4,2024-03-05,Сидоров В.П.,Контрольная работа,
2,Петрова Мария,Математика,5,2024-03-20,Петрова А.С.,Самостоятельная работа,
2,Петрова Мария,Биология,5,2024-04-02,Федорова Е.В.,Лабораторная работа,
3,Сидоров Алексей,Математика,3,2024-01-15,Петрова А.С.,Контрольная работа №1,Нужна дополнительная подготовка
3,Сидоров Алексей,Физика,4,2024-01-18,Сидоров В.П.,Лабораторная работа,
3,Сидоров Алексей,Математика,4,2024-02-10,Петрова А.С.,Контрольная работа №2,Улучшение
3,Сидоров Алексей,Химия,3,2024-02-15,Козлова М.А.,Практическая работа,
3,Сидоров Алексей,Физика,3,2024-03-05,Сидоров В.П.,Контрольная работа,
3,Сидоров Алексей,Математика,4,2024-03-20,Петрова А.С.,Самостоятельная работа,
3,Сидоров Алексей,Биология,4,2024-04-02,Федорова Е.В.,Лабораторная работа,
4,Козлова Анна,Математика,5,2024-01-15,Петрова А.С.,Контрольная работа №1,
4,Козлова Анна,Физика,5,2024-01-18,Сидоров В.П.,Лабораторная работа,
4,Козлова Анна,Математика,5,2024-02-10,Петрова А.С.,Контрольная работа №2,
4,Козлова Анна,Химия,5,2024-02-15,Козлова М.А.,Практическая работа,
4,Козлова Анна,Физика,5,2024-03-05,Сидоров В.П.,Контрольная работа,
4,Козлова Анна,Математика,5,2024-03-20,Петрова А.С.,Самостоятельная работа,
4,Козлова Анна,Биология,5,2024-04-02,Федорова Е.В.,Лабораторная работа,
5,Морозов Дмитрий,Математика,3,2024-01-15,Петрова А.С.,Контрольная работа №1,
5,Морозов Дмитрий,Физика,3,2024-01-18,Сидоров В.П.,Лабораторная работа,
5,Морозов Дмитрий,Математика,3,2024-02-10,Петрова А.С.,Контрольная работа №2,
5,Морозов Дмитрий,Химия,4,2024-02-15,Козлова М.А.,Практическая работа,Прогресс заметен
5,Морозов Дмитрий,Физика,4,2024-03-05,Сидоров В.П.,Контрольная работа,
5,Морозов Дмитрий,Математика,4,2024-03-20,Петрова А.С.,Самостоятельная работа,
5,Морозов Дмитрий,Биология,3,2024-04-02,Федорова Е.В.,Лабораторная работа,
6,Новикова Елена,Математика,4,2024-01-15,Петрова А.С.,Контрольная работа №1,
6,Новикова Елена,Физика,4,2024-01-18,Сидоров В.П.,Лабораторная работа,
6,Новикова Елена,Математика,4,2024-02-10,Петрова А.С.,Контрольная работа №2,
6,Новикова Елена,Химия,5,2024-02-15,Козлова М.А.,Практическая работа,
6,Новикова Елена,Физика,5,2024-03-05,Сидоров В.П.,Контрольная работа,
6,Новикова Елена,Математика,5,2024-03-20,Петрова А.С.,Самостоятельная работа,
6,Новикова Елена,Биология,4,2024-04-02,Федорова Е.В.,Лабораторная работа,
7,Волков Сергей,Математика,4,2024-01-15,Петрова А.С.,Контрольная работа №1,
7,Волков Сергей,Физика,4,2024-01-18,Сидоров В.П.,Лабораторная работа,
7,Волков Сергей,Математика,5,2024-02-10,Петрова А.С.,Контрольная работа №2,
7,Волков Сергей,Химия,4,2024-02-15,Козлова М.А.,Практическая работа,
7,Волков Сергей,Физика,5,2024-03-05,Сидоров В.П.,Контрольная работа,
